"tomatometer_rating","movie_title","tomatometer_count","genre"
93,Dr. Jekyll and Mr. Hyde,28,"Drama, Horror"
93,Father of the Bride,30,"Classics, Comedy, Drama"
93,Glory,43,Drama
93,"Good Night, And Good Luck",223,Drama
93,Home of the Brave,15,"Action & Adventure, Documentary, Drama, Special Interest"
93,Husbands and Wives,41,"Comedy, Drama, Romance"
93,Invasion of the Body Snatchers,57,"Horror, Mystery & Suspense, Science Fiction & Fantasy"
93,Jason and the Argonauts,42,"Action & Adventure, Classics, Kids & Family, Science Fiction & Fantasy"
93,La Graine et le Mulet (The Secret of the Grain) (Couscous),54,"Art House & International, Drama"
93,Last Ride,28,Drama
93,Little Women,14,"Classics, Drama, Kids & Family, Romance"
93,Lolita,42,"Classics, Comedy, Drama"
93,Night and Day (Bam gua nat),14,"Art House & International, Drama"
93,On the Town,28,"Classics, Comedy, Musical & Performing Arts"
93,Out of Sight,89,"Action & Adventure, Comedy, Drama, Mystery & Suspense, Romance"
93,Smoke,29,"Comedy, Drama"
93,The Freshman,46,"Comedy, Drama"
93,The Informer,14,"Classics, Drama"
93,The Kids Are All Right,222,"Comedy, Drama"
93,The Mummy,28,"Classics, Horror, Romance"
93,The Sting,59,"Classics, Comedy, Drama"
93,The Wild Bunch,57,"Action & Adventure, Drama, Western"
93,Thief,30,"Action & Adventure, Drama, Mystery & Suspense"
93,This Gun for Hire,14,"Classics, Drama, Mystery & Suspense"
93,Unfaithfully Yours,15,"Classics, Comedy, Musical & Performing Arts, Romance"
92,"11:14",12,"Comedy, Drama, Mystery & Suspense"
92,"12 Angry Men",12,"Drama, Television"
92,"12 O'clock Boys",48,"Documentary, Special Interest"
92,"9500 Liberty",12,"Documentary, Drama, Special Interest"
92,A Canterbury Tale,13,"Classics, Comedy, Drama"
92,A Dark Song,38,"Drama, Horror"
92,A Prayer Before Dawn,61,"Action & Adventure, Art House & International"
92,A Quiet Passion,169,Drama
92,A Vigilante,36,Drama
92,All of Me,36,"Comedy, Science Fiction & Fantasy"
92,Ballast,78,"Art House & International, Drama"
92,Ballets Russes,59,"Documentary, Musical & Performing Arts"
92,Bang The Drum Slowly,38,"Classics, Comedy, Drama, Sports & Fitness"
92,Camille,13,"Classics, Drama, Romance"
92,Carrie,66,Horror
92,Dillinger,13,"Action & Adventure, Drama, Mystery & Suspense"
92,Fantastic Mr. Fox,237,"Action & Adventure, Animation, Comedy, Kids & Family"
92,From Here to Eternity,52,"Classics, Drama, Romance"
92,Gloria,26,"Action & Adventure, Comedy, Drama, Mystery & Suspense"
92,Happy-Go-Lucky,159,"Art House & International, Comedy, Drama"
92,Hard Times,13,"Action & Adventure, Classics, Drama"
92,House On Haunted Hill,24,"Classics, Drama, Horror"
92,Inherit the Wind,24,"Classics, Drama, Faith & Spirituality"
92,Insomnia,201,"Drama, Mystery & Suspense"
92,King Solomon's Mines,12,"Action & Adventure, Classics, Drama"
92,Look Back in Anger,12,"Art House & International, Classics, Drama"
92,Man Hunt,12,"Classics, Drama, Mystery & Suspense"
92,Mister Roberts,25,"Classics, Comedy, Drama"
92,Requiem for a Heavyweight,12,"Classics, Drama, Sports & Fitness"
92,Sabrina,37,"Classics, Comedy, Drama, Romance"
92,Sugar,136,"Drama, Sports & Fitness"
92,The Celebration (Festen),39,"Art House & International, Comedy, Drama"
92,The Cool School,26,"Documentary, Musical & Performing Arts"
92,The Fly,60,"Drama, Horror, Science Fiction & Fantasy"
92,The General,52,"Comedy, Drama, Romance"
92,The Lion in Winter,38,"Classics, Drama"
92,The Little Shop of Horrors,12,"Classics, Comedy, Cult Movies, Horror"
92,The Picture of Dorian Gray,13,"Classics, Drama, Horror, Science Fiction & Fantasy"
92,The Postman Always Rings Twice,24,"Classics, Drama, Mystery & Suspense"
92,The Train,13,"Action & Adventure, Art House & International, Classics, Drama, Mystery & Suspense"
92,The Way We Get By,24,"Documentary, Special Interest"
92,The Women,25,"Classics, Comedy, Drama"
92,Traffic,158,Drama
92,Village of the Damned,26,"Horror, Mystery & Suspense, Science Fiction & Fantasy"
92,Witness,38,"Drama, Mystery & Suspense, Romance"
91,"24 City (Er shi si cheng ji)",43,"Art House & International, Documentary, Drama"
91,"49th Parallel (The Invaders)",11,"Action & Adventure, Classics, Drama, Mystery & Suspense"
91,A Ghost Story,265,Drama
91,A League of Ordinary Gentlemen,34,"Comedy, Documentary, Special Interest, Television, Sports & Fitness"
91,A Midsummer Night's Dream,11,"Classics, Comedy, Drama, Science Fiction & Fantasy, Romance"
91,A War (Krigen),92,Drama
91,Ace in the Hole (The Big Carnival),32,"Comedy, Drama"
91,Adaptation,207,"Comedy, Drama"
91,Bad Company,11,"Action & Adventure, Drama, Western"
91,Brief Encounter,43,"Classics, Drama, Romance"
91,Buena Vista Social Club,46,"Documentary, Musical & Performing Arts"
91,Dracula,46,"Classics, Horror"
91,Fright Night,35,Horror
91,Gallipoli,44,"Art House & International, Drama"
91,Go,74,"Comedy, Drama"
91,Hamlet,34,"Classics, Drama"
91,High Fidelity,165,"Comedy, Drama, Romance"
91,Katyn,68,"Art House & International, Drama"
91,Les Miserables,11,"Classics, Drama"
91,Lilies of the Field,23,"Classics, Comedy, Drama"
91,Little Women,35,"Drama, Romance"
91,No Way Out,43,"Action & Adventure, Drama, Mystery & Suspense"
91,Nobody's Fool,54,"Comedy, Drama"
